id;ingredients;method
10;115ml strong coffee (such as espresso) 115ml steamed milk;STEP 1 Pour the hot coffee into a large mug (the mug will need to hold 130ml, plus a little foam). Pour over the steamed milk and top with a little of the foam, if you like.
11;280g butter 85g dark brown soft sugar 100g golden syrup 100ml espresso or strong coffee 100g bag walnut pieces 175g whole porridge oats 175g rolled porridge oats 100g plain flour For the icing 75g butter 3 tbsp hot strong coffee or espresso 350g golden icing sugar 20 walnut halves, plus 2 tbsp finely chopped walnuts;STEP 1 Heat oven to 190C/170C fan/gas 5 and line a 20 x 30cm cake tin with baking parchment. Melt the butter in a pan with the sugar, syrup and coffee. Stir in the walnuts, porridge oats and flour with a pinch of salt. Press evenly into the tin and bake for 25 mins, then leave to cool. STEP 2 Meanwhile, make the icing. Melt the butter into the coffee, then stir into the icing sugar to make a smooth icing. Once the flapjacks have cooled to room temperature, spread over the icing. Carefully space out your walnut halves, then scatter over the finely chopped walnuts to finish. Leave until the icing is set and firm – you can pop in the fridge to speed up this bit if you like. Will keep in an airtight container for a week.
12;500ml freshly brewed, strong black coffee (we used 30g ground coffee in a cafetière and brewed for 7 mins) 80g golden caster sugar 100ml coffee liqueur (we used Kahlúa) To serve (optional) 1 tub mascarpone 50g dark chocolate, grated;STEP 1 Pour the coffee into a jug and stir in the sugar until it has dissolved. Add the coffee liqueur and leave to cool completely. STEP 2 Once cold, pour the mixture into a freezable container and put in the freezer for 1 hr. Mix it with a fork – you should start to see ice crystals forming at the edges. Return to the freezer for 20 mins then stir again. Repeat once or twice more until the granita is all clumps of ice. STEP 3 Serve in glasses or bowls as an elegant dessert. For a more indulgent version, add a dollop of mascarpone and a grating of dark chocolate.
13;300g coffee ice cream 300g vanilla ice cream 1 tbsp vegetable oil, for the tin 300g dark chocolate, roughly chopped 50g coconut oil 50g honeycomb or Maltesers, crushed;STEP 1 Leave the ice creams out at room temperature for a few mins to soften slightly. Brush a 1.2-litre loaf tin with the vegetable oil and line with cling film. Put 250g dark chocolate and the coconut oil in a small heatproof bowl over a pan of just simmering water. Stir to melt, then set aside to cool. STEP 2 Spoon half the coffee ice cream into the base of the tin and level the surface. Working quickly, spread over a quarter of the chocolate sauce, then half the vanilla ice cream and another quarter of chocolate sauce. Repeat with the remaining chocolate sauce and ice creams, finishing with a layer of chocolate sauce. Cover loosely with cling film and freeze for at least 2 hrs, or ideally overnight. STEP 3 Melt the remaining 50g chocolate in a heatproof bowl over a pan of simmering water. Lift the terrine out of the tin and turn out onto a plate. Drizzle with the melted chocolate and top with the crushed honeycomb or Maltesers. Cut into thick slices to serve.
14;double shot (60ml) espresso 50ml bourbon 10ml brown sugar syrup 2 dashes Angostura bitters ice orange zest;STEP 1 Mix a double shot (60ml) espresso with 50ml bourbon, 10ml brown sugar syrup and 2 dashes Angostura bitters in a shaker with lots of ice. Shake and strain into a short glass and garnish with a twist of orange zest.
15;40ml espresso 40ml steamed milk (heat to 55-65C);STEP 1 Pour the espresso into a 4-6oz heatproof glass or cup, then pour over the steamed milk . Finish with a little bit of foam on top (around the thickness of a finger).
16;50g unsalted butter, softened, plus extra for the tin 2 tsp espresso powder, dissolved in 2 tsp hot water, plus extra for the tin 100g chocolate (70% cocoa solids), broken into squares 45g Bournville bar, broken into squares 50g golden caster sugar, plus 1 tbsp 1 large egg, separated seeds from ½ a vanilla pod, or 1/2 tsp vanilla extract 4 tbsp plain flour, sifted 4 tbsp golden syrup coffee or vanilla ice cream, to serve;STEP 1 Heat oven to 180C/160C fan/gas 4. Butter four wells of a muffin tin, and sprinkle some espresso powder into each. STEP 2 In a pan, gently melt half of each of the chocolates with the butter until smooth. Stir in 50g sugar, then take off the heat and cool for a few mins. Stir in the coffee, egg yolk, vanilla and flour until even. STEP 3 Beat the egg whites with electric beaters or a balloon whisk until foamy and thickened. Add 1 tbsp sugar and whisk until it forms shiny soft peaks. Take care not to overwhisk – softer is better if you’re not sure. STEP 4 Stir about 1/3 of the egg whites into the chocolate batter to loosen, then carefully fold in the rest of the whites using a large metal spoon or a spatula. STEP 5 Spoon into the prepared tin, then bake for 10-12 mins or until the cakes are just starting to dome in the middle. Cool the cakes in the tin for 15 mins. In a small pan, melt the remaining chocolates and golden syrup together with 3 tbsp hot water, and whisk until silky smooth. Turn out the cakes and serve warm in a puddle of the syrup and topped with ice cream.
17;For the sugar syrup 100g golden caster sugar For the cocktail ice 100ml vodka 50ml freshly brewed espresso coffee 50ml coffee liqueur (we used Kahlua) 4 coffee beans (optional);STEP 1 Start by making the sugar syrup. Put the caster sugar in a small pan over a medium heat and pour in 50ml water. Stir, and bring to the boil. STEP 2 Turn off the heat and allow the mixture to cool. Put 2 martini glasses in the fridge to chill. STEP 3 Once the sugar syrup is cold, pour 1 tbsp into a cocktail shaker along with a handful of ice, the vodka, espresso and coffee liqueur. Shake until the outside of the cocktail shaker feels icy cold. STEP 4 Strain into the chilled glasses. Garnish each one with coffee beans if you like.
18;250g pack softened butter, plus extra for the tins 100ml strong black coffee (made with 2 tbsp coffee granules), cooled 280g self-raising flour 250g golden caster sugar ½ tsp baking powder 4 eggs 1 tsp vanilla extract 85g walnut, 2 tbsp roughly chopped, the rest finely chopped For the filling 100g icing sugar, sifted, plus a little extra for dusting 150ml double cream 100g mascarpone, at room temperature;STEP 1 Heat oven to 180C/160C fan/gas 4. Butter 2 x 20cm springform cake tins and line with baking parchment. Set aside 2 tbsp of the coffee for the filling. STEP 2 Beat the butter, flour, sugar, baking powder, eggs, vanilla and half the remaining coffee in a large bowl with an electric whisk until lump-free. Fold in the finely chopped walnuts, then divide between the tins and roughly spread. Scatter the roughly chopped walnuts over one of the cakes. Bake the cakes for 25-30 mins until golden and risen, and a skewer poked in comes out clean. Drizzle the plain cake with the remaining coffee. Cool the cakes in the tins. STEP 3 Meanwhile, make the filling: beat together the icing sugar, cream and mascarpone, then fold in the reserved 2 tbsp coffee. Spread over the plain cake, then cover with the walnut-topped cake and dust with a little icing sugar.
19;50g ground coffee (use coarsely ground for cafetières) ice sparkling water or still water to dilute;STEP 1 Put 400ml cold water into a large jug or jar and add the coffee grounds, but do not stir the mixture. Cover and leave to steep for 24 hrs. STEP 2 Gently stir the mixture, then pour it through a funnel or sieve lined with coffee filter paper (or a sheet of kitchen paper) into another large jug. This concentrate will keep in the fridge for 2-3 days. STEP 3 To serve dilute 1 part cold brew with 2 parts still or sparkling water (or to your taste) and serve with lots of ice.
20;200ml strong black coffee 50ml milk ice maple syrup, optional;STEP 1 Make a 200ml cup of black coffee following pack instructions, then allow the coffee to go completely cold. Pour into a blender with the milk along with 2 or 3 handfuls of ice and maple syrup, if using, then blend until smooth and foamy. STEP 2 Pour into a chilled tall glass and serve.
21;2 tsp pumpkin purée pinch of ground cinnamon, plus extra to serve (or use pumpkin spice) pinch of ground ginger pinch of ground nutmeg 30ml espresso or strong coffee 250ml milk (any will work);STEP 1 Put the pumpkin purée in a large heatproof glass or mug. Stir in the spices and espresso or strong coffee. STEP 2 Heat the milk in a saucepan over a low heat until steaming and frothy. Pour into the glass or mug, and spoon over any froth. Stir to combine, then dust with more cinnamon or some pumpkin spice before serving.
22;1 tbsp instant coffee 1 tbsp Tia Maria or brandy 4 large eggs, separated 100g golden caster sugar 300ml pot double cream 100g/4oz pack honeycomb Toblerone, finely chopped dark chocolate curls, to decorate;STEP 1 Oil and line a 1-litre loaf tin with cling film. Put the coffee, Tia Maria or brandy, egg yolks and sugar in a bowl and stir to dissolve the coffee. Put the egg whites in a large bowl and pour the cream in another. STEP 2 Beat the egg whites until stiff with an electric whisk, then quickly beat the egg yolk mixture until thick and leaving a trail. Now beat the cream until it holds its shape. If you beat everything in this order, you don’t need to wash the whisks in between. STEP 3 Fold the cream into the coffee mixture, then carefully fold in the whites. Fold through the Toblerone and tip into the loaf tin. Lightly cover the surface with cling film. When frozen, overwrap in foil and freeze. Will keep for up to 6 weeks. You can make the chocolate curls (see video link, above, for instructions) and keep them in a airtight container or freeze. STEP 4 To serve, unwrap and turn onto a platter. Strip off the cling film and serve topped with the chocolate curls.
23;142ml carton double cream 5 tbsp Baileys 125ml strong coffee, cooled 4 tbsp vodka 4 tbsp Kahlúa coffee beans, to decorate, optional biscuits of your choice, to serve;STEP 1 Lightly whip the cream until slightly thickened, then stir in the Baileys and whip a little more, or thin if necessary with a little water, to get a thick, creamy pouring consistency. STEP 2 Divide the coffee, vodka and Kahlúa between 4 glasses. Carefully spoon over the cream and sprinkle with a few coffee beans to decorate if you like. Serve with biscuits of your choice – Italian amaretti or biscotti would be perfect.
